Filename,DOI,Species,Mod_type,Phenotype,Quant_Data,Promoter,Application_Category,Gene_Target,Selection_Markers,Mod_Method,Mod_Direction
7802217.pdf,10.1186/s12870-020-02815-4,Cicer arietinum l.,Agrobacterium tumefaciens-mediated genetic transformation,Drought tolerance,Relative Water Content (RWC) at Stress Level 4: 17.13; Osmotic Adjustment (OA) at Stress Level 4: 0.67 | Relative water content (RWC); Osmotic adjustment (OA); Chlorophyll retention; Photosynthesis efficiency; Seed yield,rd29a,"Drought Tolerance, Plant Transformation",AtDREB1a,,Agrobacterium,Modification
7802217.pdf,10.1186/s12870-020-02815-4,Cicer arietinum l.,Agrobacterium tumefaciens-mediated genetic transformation,Drought tolerance,Relative Water Content (RWC) at Stress Level 4: 17.13; Osmotic Adjustment (OA) at Stress Level 4: 0.67 | Relative water content (RWC); Osmotic adjustment (OA); Chlorophyll retention; Photosynthesis efficiency; Seed yield,rd29a,"Drought Tolerance, Photosynthesis, Seed Yield",AtDREB1a,,Agrobacterium,Modification
7814963.pdf,10.1111/mpp.13018,Solanum lycopersicum,Transgenic,Compromised PTI response,Fresh Weight (FW): 3 g ± 1 g; Disease Index (DI): 100% | Fresh Weight (FW): 15 g ± 2 g; Disease Index (DI): 0% | Callose Depositions per mm²: 0 | Callose deposition in MM: 50; Callose deposition in MM-ΔspAvr2-30: 125,,"Plant Transformation, Disease Resistance",Avr2,,Unknown,Modification
7814963.pdf,10.1111/mpp.13018,Solanum lycopersicum,Transgenic,Compromised PTI response,Fresh Weight (FW): 3 g ± 1 g; Disease Index (DI): 100% | Fresh Weight (FW): 15 g ± 2 g; Disease Index (DI): 0% | Callose Depositions per mm²: 0 | Callose deposition in MM: 50; Callose deposition in MM-ΔspAvr2-30: 125,,Disease Resistance,Avr2,,Unknown,Modification
7824600.pdf,10.3390/plants10010059,Nicotiana tabacum,Agrobacterium-mediated transformation,Decreased 2b protein expression under elevated CO₂,Elevated CO₂ decreased 2b gene expression in CMV-infected plants,,"Viral Suppression, RNAi-Mediated Resistance",2b,,Agrobacterium,Modification
7824600.pdf,10.3390/plants10010059,Nicotiana tabacum,Viral infection,Decreased 2b protein expression under elevated CO₂,Elevated CO₂ decreased 2b gene expression in CMV-infected plants,,"Viral Suppression, RNAi-Mediated Resistance",2b,,Unknown,Modification
7835324.pdf,10.3389/fpls.2020.588700,Arabidopsis thaliana,CRISPR/Cas9 knockout,Increased number of sperm cells per pollen tube,Frequency of polyspermy events; 55% single fertilization of central cell,,"Gene Expression, Disease Resistance",TES,,CRISPR/Cas9,Knockdown/Out
7838373.pdf,10.3389/fpls.2020.613731,Barley,Agrobacterium-mediated transformation using a binary vector with the Flv1 and Flv3 genes under the control of the maize Ubi-1 promoter and chloroplast-targeting transit peptide.,"Drought tolerance, increased biomass, improved grain yield",Plant height increased by 5-8 cm; Total biomass increased by 10-20 g; Grain weight increased by 8-9.5-fold,Maize Ubi-1 promoter,"Drought Tolerance, Above-Ground Biomass Yield, Seed Yield","Flv1, Flv3",,Agrobacterium,Modification
7838373.pdf,10.3389/fpls.2020.613731,Barley,Overexpression,"Drought tolerance, increased biomass, improved grain yield",Plant height increased by 5-8 cm; Total biomass increased by 10-20 g; Grain weight increased by 8-9.5-fold,Maize Ubi-1 promoter,"Drought Tolerance, Above-Ground Biomass Yield, Seed Yield","Flv1, Flv3",,Unknown,Overexpression
7840522.pdf,10.3389/fpls.2020.607878,Capsicum annuum,Agrobacterium-mediated overexpression,Enhanced tolerance to low-phosphorus stress,Root length increased by 20%; Root fresh weight increased by 15%,,Not Explicitly Named,CaWRKY58,,Agrobacterium,Overexpression
7840522.pdf,10.3389/fpls.2020.607878,Capsicum annuum,Transient overexpression via agroinfiltration,Enhanced tolerance to low-phosphorus stress,Root length increased by 20%; Root fresh weight increased by 15%,,Not Explicitly Named,CaWRKY58,,Unknown,Overexpression
7845765.pdf,10.1002/aps3.11407,Thalictrum thalictroides,Virus-induced gene silencing (VIGS),Style length regulation,Relative abundance in floral transcriptomes,,"Flowering, Gene Expression",STY1/2,,VIGS,Knockdown/Out
7845765.pdf,10.1002/aps3.11407,Thalictrum thalictroides,Virus-induced gene silencing (VIGS),Stamen filament elongation,Relative abundance in floral transcriptomes,,"Flowering, Gene Expression",STY1/2,,VIGS,Knockdown/Out
7849391.pdf,10.1101/gr.259853.119,Arabidopsis thaliana,Mutation,Increased mutation rate under high temperature,92 SNVs; 109 deletions; 29 insertions | Higher SNV rate in HT compared to ST; 54.3% GC-to-AT transitions,,"Genome Editing, Mutation Studies",Col-0,,Unknown,Mutation
7849391.pdf,10.1101/gr.259853.119,Arabidopsis thaliana,Mutation,Increased mutation rate under high temperature,92 SNVs; 109 deletions; 29 insertions | Higher SNV rate in HT compared to ST; 54.3% GC-to-AT transitions,,"Gene Expression, Plant Transformation, Genome Editing",Col-0,,Unknown,Mutation
7864061.pdf,10.1074/jbc.RA120.014532,Hek-293,agonist-induced deubiquitination,deubiquitination of GCGR,agonist-induced deubiquitination within 5 min; return to basal levels at 60 min | 80% knockdown leads to significant increase in ubiquitination,,"Gene Expression, Above-Ground Biomass Property",GCGR,,Unknown,Modification
7864061.pdf,10.1074/jbc.RA120.014532,Hek-293,agonist-induced deubiquitination,deubiquitination of GCGR,agonist-induced deubiquitination within 5 min; return to basal levels at 60 min | 80% knockdown leads to significant increase in ubiquitination,,"Gene Expression, Disease Resistance",GCGR,,Unknown,Modification
7865351.pdf,10.3390/ijms22031297,Sedum alfredii,Agrobacterium-mediated overexpression,Decreased lateral root formation,Number of lateral roots: 35.4%; Length of lateral roots: 0.6 cm | Ethylene content: 0.65 ppm (SaARF4-OE) vs 0.75 ppm (WT) | Expression levels: Decreased by 20-fold | Vessel diameter: 12 μm (SaARF4-OE) vs 24 μm (WT) | GUS expression: Increased under IAA treatment | Root number decreased by 40%; Root length decreased by 40% | Ethylene content decreased,SaARF4 | SaARF4 promoter,"Root Property, Root Yield",SaARF4,,Agrobacterium,Overexpression
7865351.pdf,10.3390/ijms22031297,Sedum alfredii,Agrobacterium-mediated overexpression,Decreased lateral root formation,Number of lateral roots: 35.4%; Length of lateral roots: 0.6 cm | Ethylene content: 0.65 ppm (SaARF4-OE) vs 0.75 ppm (WT) | Expression levels: Decreased by 20-fold | Vessel diameter: 12 μm (SaARF4-OE) vs 24 μm (WT) | GUS expression: Increased under IAA treatment | Root number decreased by 40%; Root length decreased by 40% | Ethylene content decreased,SaARF4 | SaARF4 promoter,"Ethylene Biosynthesis, Root Property",SaARF4,,Agrobacterium,Overexpression
7870477.pdf,10.3389/fpls.2020.606386,Arabidopsis thaliana,Agrobacterium-mediated overexpression,"Stunted growth, reduced biomass, altered stress response",130-fold increase in mRNA; 220-fold increase in mRNA,35S,"Above-Ground Biomass Property, Disease Resistance",UMAMIT14,,Agrobacterium,Overexpression
7870477.pdf,10.3389/fpls.2020.606386,Arabidopsis thaliana,Overexpression under 35S promoter,"Stunted growth, reduced biomass, altered stress response",130-fold increase in mRNA; 220-fold increase in mRNA,35S,"Above-Ground Biomass Property, Disease Resistance",UMAMIT14,,Unknown,Overexpression
7902931.pdf,10.3389/fpls.2021.619062,Solanum tuberosum,Agrobacterium-mediated transient overexpression,Resistance to P. infestans,Lesion diameter: 3.2 mm (StLNC0004) vs 5.8 mm (Control); Expression level of StLNC0004: 1.5-fold increase,,"Disease Resistance, Gene Expression",StLNC0004,,Agrobacterium,Overexpression
7902931.pdf,10.3389/fpls.2021.619062,Solanum tuberosum,RNA-seq analysis,Resistance to P. infestans,Lesion diameter: 3.2 mm (StLNC0004) vs 5.8 mm (Control); Expression level of StLNC0004: 1.5-fold increase,,"Disease Resistance, Gene Expression",StLNC0004,,Unknown,Modification
7904238.pdf,10.1007/s00709-021-01616-2,Glycyrrhiza glabra,Agrobacterium-mediated transformation,Expression of squalene epoxidase gene,6.4-folds in roots; 12.4-folds under ABA treatment; 2.47-folds under GA3 treatment | 6.4-folds in roots; 12.4-folds with ABA treatment,Cloned promoter region of GgSQE1,"Gene Expression, Above-Ground Biomass Property, Biosensing, Flowering, Chemicals, Seed Property, Seed Yield",GgSQE1,,Agrobacterium,Modification
7904238.pdf,10.1007/s00709-021-01616-2,Glycyrrhiza glabra,Agrobacterium-mediated transformation,Expression of squalene epoxidase gene,6.4-folds in roots; 12.4-folds under ABA treatment; 2.47-folds under GA3 treatment | 6.4-folds in roots; 12.4-folds with ABA treatment,Cloned promoter region of GgSQE1,"Above-Ground Biomass Property, Biosensing, Chemicals, Gene Expression, Material Precursors, Pharmaceutical Precursors",GgSQE1,,Agrobacterium,Modification
7907638.pdf,10.3389/fpls.2021.640135,Arabidopsis thaliana,Knockout mutation,Increased self-fertility,Stamen height increased; Stigma height decreased | Stamen height decreased; Stigma height increased,,"Flowering, Fruit Property",ELF6,,Unknown,Knockdown/Out
7907638.pdf,10.3389/fpls.2021.640135,Arabidopsis thaliana,Knockout mutation,Decreased self-fertility,Stamen height increased; Stigma height decreased | Stamen height decreased; Stigma height increased,,"Flowering, Fruit Property",ELF6,,Unknown,Knockdown/Out
7911708.pdf,10.3390/genes12020153,Oryza sativa,mitoTALENs (mitochondria-targeted transcription activator-like effector nucleases),Large deletions in mitochondrial genome,Several hundred bp to several kb deletions | Mutation rate comparison; Gene order variability,,"Plant Transformation, Mitochondrial Genome Editing",orf-79,,Unknown,Modification
7911708.pdf,10.3390/genes12020153,Oryza sativa,mitoTALENs (mitochondria-targeted transcription activator-like effector nucleases),Large deletions in mitochondrial genome,Several hundred bp to several kb deletions | Mutation rate comparison; Gene order variability,,"Gene Expression, Plant Transformation",orf-79,,Unknown,Modification
7921840.pdf,10.1016/j.isci.2021.102199,Gossypium hirsutum,Virus-induced gene silencing (VIGS),Cotton Fiber Elongation,Fiber length decreased by 30%; IP3 content decreased by 50% | Fiber length increased by 20%; IP3 content increased by 80% | Gene expression increased by 40%; Ethylene production increased by 60% | Gene expression increased by 35%; Ethylene production increased by 55% | Fiber length decreased by 30%; IP3 accumulation decreased by 50%,,"Fiber Property, Fiber Yield",GhPIPLC2D,,VIGS,Knockdown/Out
7921840.pdf,10.1016/j.isci.2021.102199,Gossypium hirsutum,Virus-induced gene silencing (VIGS),Cotton Fiber Elongation,Fiber length decreased by 30%; IP3 content decreased by 50% | Fiber length increased by 20%; IP3 content increased by 80% | Gene expression increased by 40%; Ethylene production increased by 60% | Gene expression increased by 35%; Ethylene production increased by 55% | Fiber length decreased by 30%; IP3 accumulation decreased by 50%,,"Ethylene Biosynthesis, Fiber Property",GhPIPLC2D,,VIGS,Knockdown/Out
7925898.pdf,10.3389/fpls.2021.645218,Zea mays,Transposon-mediated gene disruption,Nuclear invaginations and deformation,Type I: 40%; Type II: 53%; Type III: 7% | Type I: 60%; Type II: 40% | Type I: 77%; Type II: 23% | Type I: 67%; Type II: 23% | Longest diameter: 22 µm; Circularity index: Higher | Viable pollen: 46%,,"Gene Expression, Above-Ground Biomass Property",MKAKU41,,Unknown,Modification
7925898.pdf,10.3389/fpls.2021.645218,Zea mays,Transposon-mediated gene disruption,Nuclear invaginations and deformation,Type I: 40%; Type II: 53%; Type III: 7% | Type I: 60%; Type II: 40% | Type I: 77%; Type II: 23% | Type I: 67%; Type II: 23% | Longest diameter: 22 µm; Circularity index: Higher | Viable pollen: 46%,,Above-Ground Biomass Property,MKAKU41,,Unknown,Modification
7978347.pdf,10.1371/journal.pgen.1009444,Arabidopsis thaliana,CRISPR/Cas9-mediated mutagenesis,Hygromycin resistance,75% resistant in diploid F2; 92.6% resistant in tetraploid F2 | 75% resistant in diploid F2; 97% resistant in tetraploid F2,CaMV 35S promoter,"Gene Expression, Plant Transformation",,HPT,CRISPR/Cas9,Modification
7978347.pdf,10.1371/journal.pgen.1009444,Arabidopsis thaliana,CRISPR/Cas9-mediated mutagenesis,Hygromycin resistance,75% resistant in diploid F2; 92.6% resistant in tetraploid F2 | 75% resistant in diploid F2; 97% resistant in tetraploid F2,CaMV 35S promoter,"Gene Expression, Disease Resistance",,HPT,CRISPR/Cas9,Modification
7982816.pdf,10.3389/fpls.2021.631470,Glycine max,Agrobacterium rhizogenes-mediated overexpression,Increased drought tolerance,Survival rate: 100%; ROS accumulation: Decreased | Survival rate: 40%; ROS accumulation: Increased,,Drought Tolerance,GmPI-PLC7,,Agrobacterium,Overexpression
7982816.pdf,10.3389/fpls.2021.631470,Glycine max,Agrobacterium rhizogenes-mediated overexpression,Increased drought tolerance,Survival rate: 100%; ROS accumulation: Decreased | Survival rate: 40%; ROS accumulation: Increased,,Salt Tolerance,GmPI-PLC7,,Agrobacterium,Overexpression
7986166.pdf,10.1111/nph.17109,Petunia hybrida,Transposon insertion (dTph1),Defective in arbuscular mycorrhizal (AM) symbiosis,Root colonization < 10%; Cell wall appositions (papillae) observed in mutants | PR2a: 2.53; PR2b: 8.42; PR4c: 8.71; PR7: 26.23 | PAL-1: 2.00; PAL-2: 5.11; PAL-3: 4.59; 4CL-1: 15.72; 4CL-2: 9.42; 4CL-3: 14.97; 4CL-4: 5.49; CA4H: 4.20; C3H-1: 1.54; C3H-2: 1.91; C3H-3: 1.65 | Root colonization < 10%; Cell wall appositions (papillae) increased,,"Disease Resistance, Plant Transformation",VAPYRIN (VPY),,Unknown,Modification
7986166.pdf,10.1111/nph.17109,Petunia hybrida,Transposon insertion (dTph1),Defective in arbuscular mycorrhizal (AM) symbiosis,Root colonization < 10%; Cell wall appositions (papillae) observed in mutants | PR2a: 2.53; PR2b: 8.42; PR4c: 8.71; PR7: 26.23 | PAL-1: 2.00; PAL-2: 5.11; PAL-3: 4.59; 4CL-1: 15.72; 4CL-2: 9.42; 4CL-3: 14.97; 4CL-4: 5.49; CA4H: 4.20; C3H-1: 1.54; C3H-2: 1.91; C3H-3: 1.65 | Root colonization < 10%; Cell wall appositions (papillae) increased,,"Disease Resistance, Gene Expression",VAPYRIN (VPY),,Unknown,Modification
7988188.pdf,10.3389/fpls.2021.656962,Arabidopsis thaliana,35S promoter-driven transgenic overexpression,Increased oil accumulation in seeds and vegetative tissues,13% increase in fatty acid content; 2.3-fold increase in TAG,35S promoter,"Biofuel Precursors, Seed Property",otsA,,Unknown,Overexpression
7988188.pdf,10.3389/fpls.2021.656962,Arabidopsis thaliana,Agrobacterium-mediated overexpression,Increased oil accumulation in seeds and vegetative tissues,13% increase in fatty acid content; 2.3-fold increase in TAG,35S promoter,"Biofuel Precursors, Seed Property",otsA,,Agrobacterium,Overexpression
7994887.pdf,10.3389/fpls.2021.625493,Arabidopsis thaliana,Agrobacterium-mediated overexpression,Drought tolerance,Survival rate increased; stomatal aperture decreased | Survival rate decreased; stomatal aperture increased,35S,"Drought Tolerance, Photosynthesis",AtSAUR32,,Agrobacterium,Overexpression
7994887.pdf,10.3389/fpls.2021.625493,Arabidopsis thaliana,Agrobacterium-mediated overexpression,Drought sensitivity,Survival rate increased; stomatal aperture decreased | Survival rate decreased; stomatal aperture increased,35S,"Drought Tolerance, Photosynthesis",AtSAUR32,,Agrobacterium,Overexpression
7996763.pdf,10.3390/plants10030442,Oryza sativa,Agrobacterium-mediated RNA interference (RNAi),Decreased herbivore-induced JA levels; decreased resistance to SSB,JA levels decreased by 38.02%; TrypPI activity decreased by 50% | JA levels decreased by 36.18%; TrypPI activity decreased by 40% | JA levels increased by 20% | JA levels increased by 25%,,"Herbicide Resistance, Pest Resistance",OsAOS1,,Agrobacterium,Knockdown/Out
7996763.pdf,10.3390/plants10030442,Oryza sativa,Agrobacterium-mediated RNA interference (RNAi),Decreased herbivore-induced JA levels; decreased resistance to SSB,JA levels decreased by 38.02%; TrypPI activity decreased by 50% | JA levels decreased by 36.18%; TrypPI activity decreased by 40% | JA levels increased by 20% | JA levels increased by 25%,,Disease Resistance,OsAOS1,,Agrobacterium,Knockdown/Out
7998174.pdf,10.3390/molecules26061498,Symphytum officinale,CRISPR/Cas9-mediated knock-out,Complete eradication of pyrrolizidine alkaloids (PAs),Homospermidine levels drastically reduced; PA levels completely eliminated | Homospermidine levels: 1382 pmol/g FW (control) vs. 11 pmol/g FW (knockout); PA levels: 6608 µg/g DW (control) vs. undetectable (knockout),,"Pharmaceutical Precursors, Gene Expression",hss,,CRISPR/Cas9,Modification
7998174.pdf,10.3390/molecules26061498,Symphytum officinale,CRISPR/Cas9-mediated knock-out,Complete eradication of pyrrolizidine alkaloids (PAs),Homospermidine levels drastically reduced; PA levels completely eliminated | Homospermidine levels: 1382 pmol/g FW (control) vs. 11 pmol/g FW (knockout); PA levels: 6608 µg/g DW (control) vs. undetectable (knockout),,"Pharmaceutical Precursors, Above-Ground Biomass Property",hss,,CRISPR/Cas9,Modification
7999837.pdf,10.3390/ijms22062803,Citrus sinensis,Agrobacterium-mediated epicotyl transformation,Enhanced tolerance to Huanglongbing disease,Increased MeSA content; Reduced Las bacterial growth,35S,"Disease Resistance, Plant Transformation",CsSAMT1,,Agrobacterium,Modification
7999837.pdf,10.3390/ijms22062803,Citrus sinensis,Overexpression via Agrobacterium-mediated transformation,Enhanced tolerance to Huanglongbing disease,Increased MeSA content; Reduced Las bacterial growth,35S,"Disease Resistance, Plant Transformation",CsSAMT1,,Agrobacterium,Overexpression
8003395.pdf,10.3390/ijms22063133,Gossypium hirsutum,Virus-induced gene silencing (VIGS),Response to Potassium Deficiency,Expression level increased under low K⁺; FPKM value >16 | Expression level increased under low K⁺; FPKM value >4.6 | Expression level down-regulated under low K⁺ | Expression level increased by 6-fold | Expression level increased by 5-fold | Expression level decreased by 3-fold | Expression level decreased by 2-fold,,"Above-Ground Biomass Property, Root Property",GhHAK5,,VIGS,Knockdown/Out
8003395.pdf,10.3390/ijms22063133,Gossypium hirsutum,Virus-induced gene silencing (VIGS),Response to Potassium Deficiency,Expression level increased under low K⁺; FPKM value >16 | Expression level increased under low K⁺; FPKM value >4.6 | Expression level down-regulated under low K⁺ | Expression level increased by 6-fold | Expression level increased by 5-fold | Expression level decreased by 3-fold | Expression level decreased by 2-fold,,"Disease Resistance, Nutrient Utilization",GhHAK5,,VIGS,Knockdown/Out
8006553.pdf,10.1093/jxb/eraa601,Solanum lycopersicum,CRISPR/Cas9 knockout,Increased susceptibility to fungal pathogens,Disease incidence: 75%; Disease severity: 90 mm,,"Disease Resistance, Fruit Property","PR-10, CHI3, CHI17, OPR3",,CRISPR/Cas9,Knockdown/Out
8006553.pdf,10.1093/jxb/eraa601,Solanum lycopersicum,Observational Study (RNA-seq / Transcriptomics),Increased susceptibility to fungal pathogens,Disease incidence: 75%; Disease severity: 90 mm,,"Disease Resistance, Fruit Property","PR-10, CHI3, CHI17, OPR3",,Unknown,Modification
8012623.pdf,10.1038/s41438-021-00520-3,Solanum lycopersicum,CRISPR/Cas9 knockout,Decreased fresh weight of tomato fruits; Increased carotenoid content,Fresh weight decreased by 19% (P=0.019); Total carotenoids increased by 30-50%,,"Fruit Property, Fruit Yield",Sl_H2A.Z,,CRISPR/Cas9,Knockdown/Out
8020846.pdf,10.3389/fpls.2021.609351,Triticum aestivum,Overexpression via Agrobacterium-mediated transformation,"Increased sensitivity to ABA, salt stress, and osmotic stress",Seedling cotyledon presence: 10.9-12.2% (transgenic) vs 36.1-41.5% (wild type/vector control); Chlorophyll content: 0.6-0.8 mg/g FW (transgenic) vs 1.2-1.4 mg/g FW (wild type/vector control),CaMV 35S promoter,"Abiotic Stress Tolerance, Gene Expression, Stress Resistance",TaSAP7-A,,Agrobacterium,Overexpression
8031172.pdf,10.1371/journal.pone.0249699,Gossypium hirsutum,Agrobacterium-mediated overexpression,Herbivore resistance,Increased VP production; Faster signal emission,,"Disease Resistance, Pest Resistance",Bt (Bacillus thuringiensis),,Agrobacterium,Overexpression
8038702.pdf,10.3390/molecules26072092,Panax ginseng,Overexpression,"Anti-inflammatory effects, osteogenic induction","Cell viability: 93.6% (G-Re); 101.0% (G-Ra8); 108.8% (G-Rf) | EGFR protein levels: 20 µM, 40 µM | Nrf2 nuclear translocation: 0.5 h, 1 h, 2 h | Expression levels increased with time; highest at 24 h | Expression levels increased with ginsenoside treatment | Translocation increased with ginsenoside treatment",,"Gene Expression, Disease Resistance, Photosynthesis",HO-1,,Unknown,Overexpression
8038702.pdf,10.3390/molecules26072092,Panax ginseng,Overexpression,"Anti-inflammatory effects, osteogenic induction","Cell viability: 93.6% (G-Re); 101.0% (G-Ra8); 108.8% (G-Rf) | EGFR protein levels: 20 µM, 40 µM | Nrf2 nuclear translocation: 0.5 h, 1 h, 2 h | Expression levels increased with time; highest at 24 h | Expression levels increased with ginsenoside treatment | Translocation increased with ginsenoside treatment",,"Gene Expression, Anti-Inflammatory Effects",HO-1,,Unknown,Overexpression
8042743.pdf,10.1093/jxb/eraa550,Arabidopsis thaliana,miRNA knock-down,Increased chlorophyll content; Larger chloroplasts,chlorophyll content increased by 20%; chloroplast size increased by 1.5 µm | chlorophyll content decreased by 15%; chloroplast size decreased by 1.1 µm | Chlorophyll content increased; Chloroplast size increased | Chlorophyll content decreased; Chloroplast size decreased,Native promoter,"Photosynthesis, Chloroplast Development",FTSH12,,Unknown,Modification
8042743.pdf,10.1093/jxb/eraa550,Arabidopsis thaliana,miRNA knock-down,Increased chlorophyll content; Larger chloroplasts,chlorophyll content increased by 20%; chloroplast size increased by 1.5 µm | chlorophyll content decreased by 15%; chloroplast size decreased by 1.1 µm | Chlorophyll content increased; Chloroplast size increased | Chlorophyll content decreased; Chloroplast size decreased,Native promoter,"Chloroplast Development, Photosynthesis",FTSH12,,Unknown,Modification
8048663.pdf,10.1111/nph.17213,Nicotiana benthamiana,Agrobacterium-mediated transient expression,"Necrotic lesions, phytotoxicity, downregulation of photosynthesis genes",Necrotic lesion development at 3 dpi: 4 ng/g-fresh leaf; 4 dpi: 8 ng/g-fresh leaf; 5 dpi: 12 ng/g-fresh leaf; 6 dpi: 16 ng/g-fresh leaf | 3 dpi: -2.053; 4 dpi: -3.033; 5 dpi: -2.488,,"Gene Expression, Biosensing, Plant Transformation","SbDES2, SbDES3, SbARS2, SbOMT3, CYP71AM1",,Agrobacterium,Modification
8048663.pdf,10.1111/nph.17213,Nicotiana benthamiana,Agrobacterium-mediated transient expression,"Necrotic lesions, phytotoxicity, downregulation of photosynthesis genes",Necrotic lesion development at 3 dpi: 4 ng/g-fresh leaf; 4 dpi: 8 ng/g-fresh leaf; 5 dpi: 12 ng/g-fresh leaf; 6 dpi: 16 ng/g-fresh leaf | 3 dpi: -2.053; 4 dpi: -3.033; 5 dpi: -2.488,,"Plant Transformation, Disease Resistance","SbDES2, SbDES3, SbARS2, SbOMT3, CYP71AM1",,Agrobacterium,Modification
8051604.pdf,10.1111/pbi.13494,Citrus,Agrobacterium-mediated overexpression,Increased flavonoid accumulation,1.11-fold increase; 1.23-fold increase,,"Flavonoid Biosynthesis, Chemicals",CitCHIL1,,Agrobacterium,Overexpression
8051604.pdf,10.1111/pbi.13494,Citrus,Overexpression in Citrus and Arabidopsis,Increased flavonoid accumulation,1.11-fold increase; 1.23-fold increase,,"Flavonoid Biosynthesis, Chemicals",CitCHIL1,,Unknown,Overexpression
8055964.pdf,10.1038/s41598-021-88021-0,Ammopiptanthus nanus,Overlapping PCR,"Cold tolerance, Heat tolerance",Expression of AnAFPΔA decreases cold and heat tolerance in E. coli; Expression of AnAFP enhances heat tolerance in Arabidopsis | Expression increased 2.86 times at 3 hours | Expression increased 18.50 times at 3 hours | 84.85%; 95.75%; 95.85% | 13.91 times; 2.86 times; 18.50 times,,"Gene Expression, Cold Resistance, Heat Tolerance",AnAFP,,Unknown,Modification
8055964.pdf,10.1038/s41598-021-88021-0,Ammopiptanthus nanus,Overlapping PCR,"Cold tolerance, Heat tolerance",Expression of AnAFPΔA decreases cold and heat tolerance in E. coli; Expression of AnAFP enhances heat tolerance in Arabidopsis | Expression increased 2.86 times at 3 hours | Expression increased 18.50 times at 3 hours | 84.85%; 95.75%; 95.85% | 13.91 times; 2.86 times; 18.50 times,,"Gene Expression, Temperature Stress Response",AnAFP,,Unknown,Modification
8064113.pdf,10.3390/genes12040464,Cnaphalocrocis medinalis,RNA Interference,"Reduced gene expression, developmental abnormalities, increased mortality",RNAi efficiency: 68.6%; Mortality rate: 43%; Body weight reduction: 0.152 g vs 0.199 g; Excretion reduction: 1.79 g vs 2.25 g,,"Gene Expression, Pest Resistance",CmUAP,,Unknown,Knockdown/Out
8064318.pdf,10.3390/plants10040621,Oryza sativa,CRISPR-Cas9 base editing (n/dCas9-PBE),Herbicide Resistance,"Bispyribac-sodium resistance | Resistance to Sulfonylurea, Imidazolinone, Aryloxyphenoxy propionate",,Herbicide Resistance,ALS,,CRISPR/Cas9,Modification
8064318.pdf,10.3390/plants10040621,Oryza sativa,CRISPR-Cas9 base editing (n/dCas9-PBE),Herbicide Resistance,"Bispyribac-sodium resistance | Resistance to Sulfonylurea, Imidazolinone, Aryloxyphenoxy propionate",,Herbicide Resistance,"TaALS, ACCase",,CRISPR/Cas9,Modification
8065085.pdf,10.1186/s12284-021-00482-z,Oryza sativa,CRISPR/Cas9 editing of EBEs,Enhanced resistance to Xoo and Xoc,Lesion length reduction: 71.54%; 93.07%; 91.36%,"Natural promoters of OsSWEET11, OsSWEET14, and OsSULTR3;6","Disease Resistance, Plant Transformation","OsSWEET11, OsSWEET14, OsSULTR3;6",,CRISPR/Cas9,Modification
8096963.pdf,10.1038/s41467-021-22815-8,Arabidopsis thaliana,Agrobacterium-mediated overexpression,Induction of somatic embryogenesis,"85-95% of IZEs induced SE without 2,4-D; 20-30% with other AHL genes | 69% tetraploid plants from p35S:AHL15 SE-derived plants | 70% dispersed nuclei in p35S:AHL15 IZEs | 85-95% of IZEs produced somatic embryos; polyploid plants (4n) observed",,"Plant Transformation, Above-Ground Biomass Property",AHL15,,Agrobacterium,Overexpression
8096963.pdf,10.1038/s41467-021-22815-8,Arabidopsis thaliana,Agrobacterium-mediated overexpression,Induction of somatic embryogenesis,"85-95% of IZEs induced SE without 2,4-D; 20-30% with other AHL genes | 69% tetraploid plants from p35S:AHL15 SE-derived plants | 70% dispersed nuclei in p35S:AHL15 IZEs | 85-95% of IZEs produced somatic embryos; polyploid plants (4n) observed",,"Plant Transformation, Nutrient Utilization",AHL15,,Agrobacterium,Overexpression
8104031.pdf,10.3389/fpls.2021.646359,Zea mays,EMS-induced point mutation,"Seedling lethality, chlorosis",Chlorophyll content reduced; Electron transport rate decreased | Chlorophyll a: decreased; Chlorophyll b: decreased; Chlorophyll x: decreased,,"Photosynthesis, Plant Transformation, Above-Ground Biomass Property",ZmFdC2,,Unknown,Mutation
8104031.pdf,10.3389/fpls.2021.646359,Zea mays,EMS-induced point mutation,"Seedling lethality, chlorosis",Chlorophyll content reduced; Electron transport rate decreased | Chlorophyll a: decreased; Chlorophyll b: decreased; Chlorophyll x: decreased,,"Photosynthesis, Chloroplast Development",ZmFdC2,,Unknown,Mutation
8122443.pdf,10.3390/ijms22094337,Oryza sativa,Agrobacterium-mediated overexpression,"Drought sensitivity, Reduced plant height, Decreased cell size","Survival rate: WT 80%, OE-1 20%, OE-2 25%; Plant height: WT 80 cm, OE-1 60 cm, OE-2 60 cm; Cell size: WT 50 µm, OE-1 30 µm, OE-2 30 µm",,"Drought Tolerance, Plant Transformation, Gene Expression",OsWRKY55,,Agrobacterium,Overexpression
