Filename,DOI,Species,Mod_type,Phenotype,Quant_Data,Promoter,Application_Category,Gene_Target,,Mod_Method,Mod_Direction
7759848.pdf,10.3390/plants9121666,cucumis metuliferus,rna silencing,resistance against prsv-ha,detection of prsv-ha rna in systemic leaves; suppression of prsv-ha rna accumulation,,"disease resistance, rna silencing",hcpro,,unknown,knockdown/out
7761651.pdf,10.3390/genes11121452,triticum aestivum,bsmv-mediated virus-induced gene silencing,increased susceptibility to pst,relative fungal biomass increased; sa level decreased | tapr1 expression increased; tapr2 expression increased | relative expression of tays1a decreased by 39-fold; fungal biomass increased by 1.5-fold | tapr1 expression increased by 2.5-fold; tapr2 expression increased by 1.8-fold,,disease resistance,tays1a,,unknown,knockdown/out
7762049.pdf,10.3390/biom10121639,arabidopsis thaliana,agrobacterium-mediated overexpression,decreased accumulation of hmchl a and chl b,chl a/b ratio increased from 0.8 to 1.6; hmchl a decreased from 30 nmol/g to undetectable levels,,not explicitly named,hcar,,agrobacterium,overexpression
7764809.pdf,10.3390/ijms21249429,citrus sinensis,agrobacterium-mediated overexpression using cspae2 overexpression plasmid with camv 35s promoter and rna interference (rnai) silencing using cspae2-rnai plasmid,increased susceptibility to citrus bacterial canker (cbc),lesion size increased to approximately 12 mm; disease severity significantly increased | lesion size reduced to approximately 5 mm; disease severity significantly decreased,camv 35s promoter,disease resistance,cspae2,,agrobacterium,overexpression
7771657.pdf,10.1002/pld3.295,zea mays,mutator (mu) insertion in intron1,improved agronomic traits under abiotic stresses,ear length increased by 1.60%; ear width increased by 5.40%; seed number increased by +11.70%,,"above-ground biomass yield, drought tolerance",pre2,,unknown,modification
7772223.pdf,10.3389/fpls.2020.608589,arabidopsis thaliana,overexpression,accelerated leaf senescence,chlorophyll content: 0.47 mg/g fw; fv/fm: 0.55 | chlorophyll content: 0.5 mg/g fw; fv/fm: 0.67 | chlorophyll content: 0.4 mg/g fw; fv/fm ratio: 0.5 | chlorophyll content: 1.6 mg/g fw; fv/fm ratio: 0.8,35s promoter | atusr1 promoter,"leaf property, leaf yield",atusr1,,unknown,overexpression
7773025.pdf,10.3389/fpls.2020.534391,nicotiana benthamiana,high-pressure spraying of double-stranded rna,silencing of gfp expression,6/11 plants showed silencing spots with low concentration sirna; 12/12 plants showed silencing spots with high concentration sirna,,"gene expression, disease resistance",,,unknown,modification
7775442.pdf,10.1038/s41438-020-00430-w,cucumis sativus,agrobacterium-mediated overexpression,hypocotyl elongation,relative expression levels of csga2ox8.1 and csga2ox8.2 under different light intensities; hypocotyl lengths under dark and light conditions,,"gene expression, above-ground biomass property",csga2ox8,,agrobacterium,overexpression
7783045.pdf,10.3389/fnut.2020.584585,papaver somniferum,overexpression,increased morphine production,morphine yield increased by 47.0%; morphine-3-beta-d-glucuronide increased by 117.4% | codeine increased by 22.6%; codeine-6-beta-d-glucuronide increased by 25.5%,,"pharmaceutical precursors, disease resistance",morphine biosynthesis genes,,unknown,overexpression
7784912.pdf,10.1038/s41396-020-00738-4,nostoc punctiforme,targeted mutagenesis,inability to colonize feathermosses,"colonization rate: wild type (positive slope), δf5882 mutant (negative slope); n- fixation rate: wild type (higher), δf5882 mutant (slightly higher)",,"disease resistance, gene expression",amso (alkane sulfonate monooxygenase),,unknown,modification
7785825.pdf,10.3389/fpls.2020.610599,solanum lycopersicum,overexpression,accumulation of specific metabolites,alkaloid β-tomatine decreased; serine increased; triterpene glycoside increased; unknown steroid-like compounds increased | glucose increased; sucrose increased; putrescine increased,,"plant transformation, heat stress response",hsfb1,,unknown,overexpression
7793673.pdf,10.3389/fpls.2020.604690,glycine max,overexpression,improved drought and salt tolerance,"higher expression levels of gmdreb1, gmnced3, gmclc1, gmsos1, gmsod1, and gmsod2 under stress conditions",camv 35s promoter,"drought tolerance, salt tolerance",gmgras37,,unknown,overexpression
7795075.pdf,10.3390/ijms22010157,oryza sativa,ems-induced point mutation,"late premature senescence, small panicles, low seed-setting rate, reduced grain yield",days to heading -3.0%; plant height -9.3%; main panicle length -11.5%; grain number per panicle -24.1%; seed-setting rate -28.3%; grain yield -62.3% | h2o2 content increased by 121.0%; mda content increased by 18.1%; sod activity increased by 51.6%; pod activity increased by 351.0% | days to heading: -3.0%; plant height: -9.3%; main panicle length: -11.5%; grain number per panicle: -24.1%; seed-setting rate: -28.3%; grain yield per plant: -62.3%,,"leaf property, seed dormancy, seed yield, grain yield",loc_os08g02640,,unknown,mutation
7802217.pdf,10.1186/s12870-020-02815-4,cicer arietinum l.,agrobacterium tumefaciens-mediated genetic transformation,drought tolerance,relative water content (rwc) at stress level 4: 17.13; osmotic adjustment (oa) at stress level 4: 0.67 | relative water content (rwc); osmotic adjustment (oa); chlorophyll retention; photosynthesis efficiency; seed yield,rd29a,"drought tolerance, plant transformation",atdreb1a,,agrobacterium,modification
7814963.pdf,10.1111/mpp.13018,solanum lycopersicum,transgenic,compromised pti response,fresh weight (fw): 3 g ± 1 g; disease index (di): 100% | fresh weight (fw): 15 g ± 2 g; disease index (di): 0% | callose depositions per mm²: 0 | callose deposition in mm: 50; callose deposition in mm-δspavr2-30: 125,,"plant transformation, disease resistance",avr2,,unknown,modification
7824600.pdf,10.3390/plants10010059,nicotiana tabacum,agrobacterium-mediated transformation,decreased 2b protein expression under elevated co₂,elevated co₂ decreased 2b gene expression in cmv-infected plants,,"viral suppression, rnai-mediated resistance",2b,,agrobacterium,modification
7835324.pdf,10.3389/fpls.2020.588700,arabidopsis thaliana,crispr/cas9 knockout,increased number of sperm cells per pollen tube,frequency of polyspermy events; 55% single fertilization of central cell,,"gene expression, disease resistance",tes,,crispr/cas9,knockdown/out
7838373.pdf,10.3389/fpls.2020.613731,barley,agrobacterium-mediated transformation using a binary vector with the flv1 and flv3 genes under the control of the maize ubi-1 promoter and chloroplast-targeting transit peptide.,"drought tolerance, increased biomass, improved grain yield",plant height increased by 5-8 cm; total biomass increased by 10-20 g; grain weight increased by 8-9.5-fold,maize ubi-1 promoter,"drought tolerance, above-ground biomass yield, seed yield","flv1, flv3",,agrobacterium,modification
7840522.pdf,10.3389/fpls.2020.607878,capsicum annuum,agrobacterium-mediated overexpression,enhanced tolerance to low-phosphorus stress,root length increased by 20%; root fresh weight increased by 15%,,not explicitly named,cawrky58,,agrobacterium,overexpression
7845765.pdf,10.1002/aps3.11407,thalictrum thalictroides,virus-induced gene silencing (vigs),style length regulation,relative abundance in floral transcriptomes,,"flowering, gene expression",sty1/2,,vigs,knockdown/out
7849391.pdf,10.1101/gr.259853.119,arabidopsis thaliana,mutation,increased mutation rate under high temperature,92 snvs; 109 deletions; 29 insertions | higher snv rate in ht compared to st; 54.3% gc-to-at transitions,,"genome editing, mutation studies",col-0,,unknown,mutation
7864061.pdf,10.1074/jbc.ra120.014532,hek-293,agonist-induced deubiquitination,deubiquitination of gcgr,agonist-induced deubiquitination within 5 min; return to basal levels at 60 min | 80% knockdown leads to significant increase in ubiquitination,,"gene expression, above-ground biomass property",gcgr,,unknown,modification
7865351.pdf,10.3390/ijms22031297,sedum alfredii,agrobacterium-mediated overexpression,decreased lateral root formation,number of lateral roots: 35.4%; length of lateral roots: 0.6 cm | ethylene content: 0.65 ppm (saarf4-oe) vs 0.75 ppm (wt) | expression levels: decreased by 20-fold | vessel diameter: 12 μm (saarf4-oe) vs 24 μm (wt) | gus expression: increased under iaa treatment | root number decreased by 40%; root length decreased by 40% | ethylene content decreased,saarf4 | saarf4 promoter,"root property, root yield",saarf4,,agrobacterium,overexpression
7870477.pdf,10.3389/fpls.2020.606386,arabidopsis thaliana,agrobacterium-mediated overexpression,"stunted growth, reduced biomass, altered stress response",130-fold increase in mrna; 220-fold increase in mrna,35s,"above-ground biomass property, disease resistance",umamit14,,agrobacterium,overexpression
7902931.pdf,10.3389/fpls.2021.619062,solanum tuberosum,agrobacterium-mediated transient overexpression,resistance to p. infestans,lesion diameter: 3.2 mm (stlnc0004) vs 5.8 mm (control); expression level of stlnc0004: 1.5-fold increase,,"disease resistance, gene expression",stlnc0004,,agrobacterium,overexpression
7904238.pdf,10.1007/s00709-021-01616-2,glycyrrhiza glabra,agrobacterium-mediated transformation,expression of squalene epoxidase gene,6.4-folds in roots; 12.4-folds under aba treatment; 2.47-folds under ga3 treatment | 6.4-folds in roots; 12.4-folds with aba treatment,cloned promoter region of ggsqe1,"gene expression, above-ground biomass property, biosensing, flowering, chemicals, seed property, seed yield",ggsqe1,,agrobacterium,modification
7907638.pdf,10.3389/fpls.2021.640135,arabidopsis thaliana,knockout mutation,increased self-fertility,stamen height increased; stigma height decreased | stamen height decreased; stigma height increased,,"flowering, fruit property",elf6,,unknown,knockdown/out
7911708.pdf,10.3390/genes12020153,oryza sativa,mitotalens (mitochondria-targeted transcription activator-like effector nucleases),large deletions in mitochondrial genome,several hundred bp to several kb deletions | mutation rate comparison; gene order variability,,"plant transformation, mitochondrial genome editing",orf-79,,unknown,modification
7921840.pdf,10.1016/j.isci.2021.102199,gossypium hirsutum,virus-induced gene silencing (vigs),cotton fiber elongation,fiber length decreased by 30%; ip3 content decreased by 50% | fiber length increased by 20%; ip3 content increased by 80% | gene expression increased by 40%; ethylene production increased by 60% | gene expression increased by 35%; ethylene production increased by 55% | fiber length decreased by 30%; ip3 accumulation decreased by 50%,,"fiber property, fiber yield",ghpiplc2d,,vigs,knockdown/out
7925898.pdf,10.3389/fpls.2021.645218,zea mays,transposon-mediated gene disruption,nuclear invaginations and deformation,type i: 40%; type ii: 53%; type iii: 7% | type i: 60%; type ii: 40% | type i: 77%; type ii: 23% | type i: 67%; type ii: 23% | longest diameter: 22 µm; circularity index: higher | viable pollen: 46%,,"gene expression, above-ground biomass property",mkaku41,,unknown,modification
7978347.pdf,10.1371/journal.pgen.1009444,arabidopsis thaliana,crispr/cas9-mediated mutagenesis,hygromycin resistance,75% resistant in diploid f2; 92.6% resistant in tetraploid f2 | 75% resistant in diploid f2; 97% resistant in tetraploid f2,camv 35s promoter,"gene expression, plant transformation",,,crispr/cas9,modification
7982816.pdf,10.3389/fpls.2021.631470,glycine max,agrobacterium rhizogenes-mediated overexpression,increased drought tolerance,survival rate: 100%; ros accumulation: decreased | survival rate: 40%; ros accumulation: increased,,drought tolerance,gmpi-plc7,,agrobacterium,overexpression
7986166.pdf,10.1111/nph.17109,petunia hybrida,transposon insertion (dtph1),defective in arbuscular mycorrhizal (am) symbiosis,root colonization < 10%; cell wall appositions (papillae) observed in mutants | pr2a: 2.53; pr2b: 8.42; pr4c: 8.71; pr7: 26.23 | pal-1: 2.00; pal-2: 5.11; pal-3: 4.59; 4cl-1: 15.72; 4cl-2: 9.42; 4cl-3: 14.97; 4cl-4: 5.49; ca4h: 4.20; c3h-1: 1.54; c3h-2: 1.91; c3h-3: 1.65 | root colonization < 10%; cell wall appositions (papillae) increased,,"disease resistance, plant transformation",vapyrin (vpy),,unknown,modification
7988188.pdf,10.3389/fpls.2021.656962,arabidopsis thaliana,35s promoter-driven transgenic overexpression,increased oil accumulation in seeds and vegetative tissues,13% increase in fatty acid content; 2.3-fold increase in tag,35s promoter,"biofuel precursors, seed property",otsa,,unknown,overexpression
7994887.pdf,10.3389/fpls.2021.625493,arabidopsis thaliana,agrobacterium-mediated overexpression,drought tolerance,survival rate increased; stomatal aperture decreased | survival rate decreased; stomatal aperture increased,35s,"drought tolerance, photosynthesis",atsaur32,,agrobacterium,overexpression
7996763.pdf,10.3390/plants10030442,oryza sativa,agrobacterium-mediated rna interference (rnai),decreased herbivore-induced ja levels; decreased resistance to ssb,ja levels decreased by 38.02%; tryppi activity decreased by 50% | ja levels decreased by 36.18%; tryppi activity decreased by 40% | ja levels increased by 20% | ja levels increased by 25%,,"herbicide resistance, pest resistance",osaos1,,agrobacterium,knockdown/out
7998174.pdf,10.3390/molecules26061498,symphytum officinale,crispr/cas9-mediated knock-out,complete eradication of pyrrolizidine alkaloids (pas),homospermidine levels drastically reduced; pa levels completely eliminated | homospermidine levels: 1382 pmol/g fw (control) vs. 11 pmol/g fw (knockout); pa levels: 6608 µg/g dw (control) vs. undetectable (knockout),,"pharmaceutical precursors, gene expression",hss,,crispr/cas9,modification
7999837.pdf,10.3390/ijms22062803,citrus sinensis,agrobacterium-mediated epicotyl transformation,enhanced tolerance to huanglongbing disease,increased mesa content; reduced las bacterial growth,35s,"disease resistance, plant transformation",cssamt1,,agrobacterium,modification
8003395.pdf,10.3390/ijms22063133,gossypium hirsutum,virus-induced gene silencing (vigs),response to potassium deficiency,expression level increased under low k⁺; fpkm value >16 | expression level increased under low k⁺; fpkm value >4.6 | expression level down-regulated under low k⁺ | expression level increased by 6-fold | expression level increased by 5-fold | expression level decreased by 3-fold | expression level decreased by 2-fold,,"above-ground biomass property, root property",ghhak5,,vigs,knockdown/out
8006553.pdf,10.1093/jxb/eraa601,solanum lycopersicum,crispr/cas9 knockout,increased susceptibility to fungal pathogens,disease incidence: 75%; disease severity: 90 mm,,"disease resistance, fruit property","pr-10, chi3, chi17, opr3",,crispr/cas9,knockdown/out
8012623.pdf,10.1038/s41438-021-00520-3,solanum lycopersicum,crispr/cas9 knockout,decreased fresh weight of tomato fruits; increased carotenoid content,fresh weight decreased by 19% (p=0.019); total carotenoids increased by 30-50%,,"fruit property, fruit yield",sl_h2a.z,,crispr/cas9,knockdown/out
8020846.pdf,10.3389/fpls.2021.609351,triticum aestivum,overexpression via agrobacterium-mediated transformation,"increased sensitivity to aba, salt stress, and osmotic stress",seedling cotyledon presence: 10.9-12.2% (transgenic) vs 36.1-41.5% (wild type/vector control); chlorophyll content: 0.6-0.8 mg/g fw (transgenic) vs 1.2-1.4 mg/g fw (wild type/vector control),camv 35s promoter,"abiotic stress tolerance, gene expression, stress resistance",tasap7-a,,agrobacterium,overexpression
8031172.pdf,10.1371/journal.pone.0249699,gossypium hirsutum,agrobacterium-mediated overexpression,herbivore resistance,increased vp production; faster signal emission,,"disease resistance, pest resistance",bt (bacillus thuringiensis),,agrobacterium,overexpression
8038702.pdf,10.3390/molecules26072092,panax ginseng,overexpression,"anti-inflammatory effects, osteogenic induction","cell viability: 93.6% (g-re); 101.0% (g-ra8); 108.8% (g-rf) | egfr protein levels: 20 µm, 40 µm | nrf2 nuclear translocation: 0.5 h, 1 h, 2 h | expression levels increased with time; highest at 24 h | expression levels increased with ginsenoside treatment | translocation increased with ginsenoside treatment",,"gene expression, disease resistance, photosynthesis",ho-1,,unknown,overexpression
8042743.pdf,10.1093/jxb/eraa550,arabidopsis thaliana,mirna knock-down,increased chlorophyll content; larger chloroplasts,chlorophyll content increased by 20%; chloroplast size increased by 1.5 µm | chlorophyll content decreased by 15%; chloroplast size decreased by 1.1 µm | chlorophyll content increased; chloroplast size increased | chlorophyll content decreased; chloroplast size decreased,native promoter,"photosynthesis, chloroplast development",ftsh12,,unknown,modification
8048663.pdf,10.1111/nph.17213,nicotiana benthamiana,agrobacterium-mediated transient expression,"necrotic lesions, phytotoxicity, downregulation of photosynthesis genes",necrotic lesion development at 3 dpi: 4 ng/g-fresh leaf; 4 dpi: 8 ng/g-fresh leaf; 5 dpi: 12 ng/g-fresh leaf; 6 dpi: 16 ng/g-fresh leaf | 3 dpi: -2.053; 4 dpi: -3.033; 5 dpi: -2.488,,"gene expression, biosensing, plant transformation","sbdes2, sbdes3, sbars2, sbomt3, cyp71am1",,agrobacterium,modification
8051604.pdf,10.1111/pbi.13494,citrus,agrobacterium-mediated overexpression,increased flavonoid accumulation,1.11-fold increase; 1.23-fold increase,,"flavonoid biosynthesis, chemicals",citchil1,,agrobacterium,overexpression
8055964.pdf,10.1038/s41598-021-88021-0,ammopiptanthus nanus,overlapping pcr,"cold tolerance, heat tolerance",expression of anafpδa decreases cold and heat tolerance in e. coli; expression of anafp enhances heat tolerance in arabidopsis | expression increased 2.86 times at 3 hours | expression increased 18.50 times at 3 hours | 84.85%; 95.75%; 95.85% | 13.91 times; 2.86 times; 18.50 times,,"gene expression, cold resistance, heat tolerance",anafp,,unknown,modification
8064113.pdf,10.3390/genes12040464,cnaphalocrocis medinalis,rna interference,"reduced gene expression, developmental abnormalities, increased mortality",rnai efficiency: 68.6%; mortality rate: 43%; body weight reduction: 0.152 g vs 0.199 g; excretion reduction: 1.79 g vs 2.25 g,,"gene expression, pest resistance",cmuap,,unknown,knockdown/out
8064318.pdf,10.3390/plants10040621,oryza sativa,crispr-cas9 base editing (n/dcas9-pbe),herbicide resistance,"bispyribac-sodium resistance | resistance to sulfonylurea, imidazolinone, aryloxyphenoxy propionate",,herbicide resistance,als,,crispr/cas9,modification
8065085.pdf,10.1186/s12284-021-00482-z,oryza sativa,crispr/cas9 editing of ebes,enhanced resistance to xoo and xoc,lesion length reduction: 71.54%; 93.07%; 91.36%,"natural promoters of ossweet11, ossweet14, and ossultr3;6","disease resistance, plant transformation","ossweet11, ossweet14, ossultr3;6",,crispr/cas9,modification
8096963.pdf,10.1038/s41467-021-22815-8,arabidopsis thaliana,agrobacterium-mediated overexpression,induction of somatic embryogenesis,"85-95% of izes induced se without 2,4-d; 20-30% with other ahl genes | 69% tetraploid plants from p35s:ahl15 se-derived plants | 70% dispersed nuclei in p35s:ahl15 izes | 85-95% of izes produced somatic embryos; polyploid plants (4n) observed",,"plant transformation, above-ground biomass property",ahl15,,agrobacterium,overexpression
8104031.pdf,10.3389/fpls.2021.646359,zea mays,ems-induced point mutation,"seedling lethality, chlorosis",chlorophyll content reduced; electron transport rate decreased | chlorophyll a: decreased; chlorophyll b: decreased; chlorophyll x: decreased,,"photosynthesis, plant transformation, above-ground biomass property",zmfdc2,,unknown,mutation
8122443.pdf,10.3390/ijms22094337,oryza sativa,agrobacterium-mediated overexpression,"drought sensitivity, reduced plant height, decreased cell size","survival rate: wt 80%, oe-1 20%, oe-2 25%; plant height: wt 80 cm, oe-1 60 cm, oe-2 60 cm; cell size: wt 50 µm, oe-1 30 µm, oe-2 30 µm",,"drought tolerance, plant transformation, gene expression",oswrky55,,agrobacterium,overexpression
8131053.pdf,10.1111/pbi.13552,oryza sativa,crispr/cas9 knockout,"decreased arabinose content, improved saccharification efficiency",15.19% increase in saccharification efficiency (uxe1uxe2); 7.42% increase in saccharification efficiency (xat2xat3); 2.19% decrease in arabinose content (uxe1uxe2); 2.78% decrease in arabinose content (xat2xat3) | arabinose content decreased; saccharification efficiency increased by 15.19% (uxe1uxe2) and 7.42% (xat2xat3),,"biofuel precursors, cell wall modification, saccharification","osuxe1, osuxe2, osuxe3, osxat2, osxat3",,crispr/cas9,knockdown/out
8139003.pdf,10.1186/s12870-021-02994-8,nicotiana benthamiana,virus-induced gene silencing (vigs),premature corolla senescence and altered abscission,corolla length: 1.8 cm; break strength: 9 gf | corolla abscission: 18%; break strength: 30 gf | corolla abscission: 10%; corolla breakstrength: 40 gf | corolla abscission: 18%; corolla breakstrength: 30 gf | corolla length: 1.5 cm,,"flowering, above-ground biomass property",nbenida1a,,vigs,knockdown/out
8146367.pdf,10.3390/plants10050859,nicotiana tabacum,agrobacterium-mediated overexpression,increased abiotic stress tolerance,plant height: 34% taller; mnp activity: 10.87-fold increase; germination rate under 200 mm nacl: 80%; rwc under drought: 75%,camv35s,"drought tolerance, salt tolerance, oxidative stress tolerance",versatile peroxidase (vp),,agrobacterium,overexpression
8157609.pdf,10.3390/ijms22105299,elsholtzia haichowensis,agrobacterium-mediated transformation,increased gus activity under cu stress,"gus activity increased at 100 μm and 150 μm cu²⁺ | significantly higher (p < 0.05) in cu-tolerant population | gus activity significantly increased at 100 μm sa | no significant difference between mannitol treatment and control | gus activity significantly induced by fru, glc, and fru + glc | relative gus activity under cu2+ treatments: 0.3 μm (1.0); 25 μm (1.0); 50 μm (1.0); 100 μm (1.0); 150 μm (1.0); 200 μm (1.0); sugar treatments: sucrose (200 mm) (1.0); glucose (200 mm) (1.0); fructose (200 mm) (1.0); fructose + glucose (100 mm) (1.0); mannitol (200 mm) (1.0); hormone treatments: aba (20 μm) (1.0); 6-ba (20 μm) (1.0); iaa (20 μm) (1.0); ga (20 μm) (1.0); acc (100 μm) (1.0); meja (100 μm) (1.0); sa (100 μm) (1.0); osmotic control (1.0)",ehccwinvp and ehncwinvp,"above-ground biomass property, drought tolerance",cwin,,agrobacterium,modification
8160315.pdf,10.3389/fpls.2021.662684,brassica oleracea var. alboglabra,vigs-mediated gene silencing,"decreased carotenoid and chlorophyll content, yellowing leaves, inhibited growth",silencing efficiency: 52-77%; lutein content: 2.0-3.0 mg/g dw; β-carotene content: 0.5-0.6 mg/g dw,,"carotenoid biosynthesis, plant transformation, disease resistance",boacrtiso,,vigs,knockdown/out
8186459.pdf,10.3389/fpls.2021.678564,arabidopsis thaliana,t-dna insertional knockout,reduced hypocotyl length; reduced seedling leaf area,hypocotyl length: 1.3 ± 0.1 mm (galt8) vs 1.6 ± 0.1 mm (wt); leaf area: 1.78 ± 0.13 cm² (galt8) vs 2.19 ± 0.13 cm² (wt),,"seedling development, above-ground biomass property",galt8,,unknown,knockdown/out
8189116.pdf,10.1080/21645698.2021.1934351,zea mays,agrobacterium-mediated transformation,increased pest resistance; herbicide tolerance,cry1ab content: 1.81 µg/g; cry2ab content: 0.31 µg/g; epsps content: 20.00 µg/g,,"pest resistance, herbicide resistance","cry1ab, cry2ab, maroacc",,agrobacterium,modification
8192573.pdf,10.1038/s41598-021-91763-6,arabidopsis thaliana,agrobacterium tumefaciens-mediated transformation,reduced growth under low boron conditions,"shoot fresh weight reduced by 50%; boron concentration in plant tissue decreased by 30% | boron efflux activity decreased by 80%; intracellular boron levels increased by 40% | shoot fresh weight restored to 95% of wild type; boron concentration in plant tissue increased by 25% | shoot fresh weight: wt (100%), d311a (60%), s466r (80%), a500r (60%)",,"above-ground biomass property, nutrient utilization",atbor1,,agrobacterium,modification
8196653.pdf,10.1111/pbi.13532,gossypium arboreum,large-fragment insertion,fuzzless seed phenotype; reduced trichome development,"leaf trichome count: 10; seed fuzz count: 0 | fuzzless phenotype occurrence: 100% | leaf trichome count decreased by 5-fold; gafz expression increased >10,000-fold",,"above-ground biomass property, biosensing, leaf property",gafz,,unknown,modification
8204146.pdf,10.1002/pld3.328,oryza sativa,crispr/cas9 knockout,altered metaxylem vessel size and number,mxa/tsa: 10%-23% less in drought-treated t2 plants; mxv/tsa: 14%-25% greater in deep roots; mxv/tsa: 13%-18% less in shallow roots | median mxa/rxsa: 27%-36% greater in t1 lines; 17%-25% greater in t2 lines,,"drought tolerance, root property, root yield",oslhw,,crispr/cas9,knockdown/out
8215294.pdf,10.1016/j.jbc.2021.100695,arabidopsis thaliana,site-directed mutagenesis,redox sensitivity,increased activity under oxidative conditions; decreased activity under reductive conditions | cleavage activity increased in presence of top1 and top2 | cys-to-ala mutants show reduced dimerization; top1 activity increased with oxidation | cys-to-ala mutants show no effect on monomerization; top2 activity increased with oxidation | ntrc mutants show suppressed top activity and sar; oe-ntrc shows wild-type sar,,"gene expression, immune response",top1,,unknown,modification
8218485.pdf,10.1186/s12870-021-03094-3,arabidopsis thaliana,agrobacterium-mediated overexpression,"increased salt tolerance, reduced root hair development, enhanced osmotic resistance",germination percentage: 2x higher at 100 mm nacl; root length: longer under nacl treatment,camv 35s,"salt tolerance, osmotic stress resistance",lbhlh,,agrobacterium,overexpression
8220776.pdf,10.1186/s13104-021-05651-3,solanum lycopersicum,agrobacterium-mediated overexpression,systemic infection of tylcv,symptoms observed 10 days after agroinoculation; tylcv progeny dna detected 6 days after agroinoculation,,disease resistance,tylcv,,agrobacterium,overexpression
8221581.pdf,10.3389/fphys.2021.678698,galeruca daurica,rna interference (rnai),decreased expression of gdauobp15,relative expression level: 0.3 (female); 0.4 (male) | relative expression level: 0.1 (female); n/a (male),,electrophysiology,gdauobp15,,rnai,knockdown/out
8231706.pdf,10.3389/fpls.2021.670209,brassica napus,agrobacterium-mediated transformation,herbicide tolerance,glyphosate tolerance; glufosinate tolerance | frequency of c-chromosome markers in progeny | survival rate after glyphosate application: 90%; survival rate after glufosinate application: 80%,camv35s,"herbicide resistance, plant transformation",epsps,,agrobacterium,modification
8234546.pdf,10.3390/ijms22126437,brassica rapa,agrobacterium-mediated overexpression,heat shock tolerance,"survival rate: 65-89% (transgenic); 20% (control); 12% (cc1805); 0% (cc1002) | total gsl: 22000 nmol/g dw (transgenic); 18000 nmol/g dw (control) | heat stress: 65-89% survival (transgenic); 20% survival (control) | holdase chaperone activity: prevented mdh aggregation at 1:0.4 molar ratio | degs: 1516 (logfc ≥2, fdr <0.05) | 65–89% survival rate; 20% survival rate in controls",,"above-ground biomass property, stress tolerance, thermotolerance",brpp5.2,,agrobacterium,overexpression
8234842.pdf,10.3390/biology10060562,oryza sativa,agrobacterium-mediated transformation,increased seed longevity and dormancy,germination ratio: 71% (25 days); 45% (100 days); dormancy ratio: 28% (ge); 19% (non-ge) | germination ratio increased by 27.9%; dormancy ratio increased by 25.4%,,"seed property, seed yield, drought tolerance",epsps,,agrobacterium,modification
8235456.pdf,10.3390/plants10061226,arabidopsis thaliana,crispr/cas9-mediated promoter modification,improved salt stress response,gene expression increased by 30%; salt tolerance index improved by 25% | leaf water potential improved by 15%; yield increased by 10% | photosynthetic efficiency increased by 20%; flowering time reduced by 5 days | improved drought tolerance during flowering stage; increased stress memory | increased salt tolerance; improved drought resistance | enhanced drought resistance in long-term memory | increased heat resistance in long-term memory | improved salt resistance; enhanced drought resistance,osrav2,"drought tolerance, salt resistance",osrav2,,crispr/cas9,modification
8239399.pdf,10.3389/fpls.2021.639189,arabidopsis thaliana,agrobacterium-mediated overexpression,"enhanced cd tolerance, accumulation, and translocation",cd content in roots: 0.65 mg/kg (wt) vs. 1.43 mg/kg (l1); cd content in shoots: 0.42 mg/kg (wt) vs. 1.37 mg/kg (l1); translocation factor (tf): 0.61 (wt) vs. 0.86 (l1),camv 35s,"phytoremediation, heavy metal tolerance",bnpcs1,,agrobacterium,overexpression
8240407.pdf,10.1186/s12870-021-03084-5,brassica juncea,agrobacterium-mediated overexpression,leaf color variation,increased anthocyanin accumulation in purple leaves; increased expression of bjmyb113a compared to bjmyb113b and bjmyb113c | decreased expression of bjmyb113c compared to bjmyb113a | loss of function leading to green leaves | anthocyanin content increased; gene expression increased | anthocyanin content decreased; gene expression decreased,native promoter of bjmyb113,"above-ground biomass property, gene expression",bjmyb113,,agrobacterium,overexpression
8242593.pdf,10.3389/fpls.2021.670505,vitis vinifera,agrobacterium-mediated transient overexpression,enhanced resistance to plasmopara viticola,increased h2o2 accumulation; reduced sporangia density,35s promoter,"disease resistance, pathogen stress response",vdac3,,agrobacterium,overexpression
8251712.pdf,10.1111/nph.17312,triticum aestivum,agrobacterium-mediated overexpression,"delayed germination, increased aba biosynthesis, deeper grain color",germination percentage decreased by 55.1% (threshed seeds); aba levels increased by 1-fold,polyubiquitin promoter (ubi1),"disease resistance, seed property",myb10-d,,agrobacterium,overexpression
8254353.pdf,10.1186/s13007-021-00774-x,lycium ruthenicum,crispr/cas9-mediated gene editing,fruit size modification,95.45% editing efficiency; 30% variation in fruit size,,"fruit property, gene expression",fw2.2,,crispr/cas9,modification
8254509.pdf,10.1093/plcell/koab050,oenothera,biolistic chloroplast transformation with insertion of +1a in the atpb oligoa stretch,"restored atp synthase activity, reduced chlorophyll content",atp synthase activity: 29% of wild type; chlorophyll content: 24% of wild type,,"photosynthesis, chloroplast function",atpb,,unknown,modification
8263708.pdf,10.1038/s41438-021-00604-0,oryza sativa,overexpression via transgenic rice plants,delayed leaf senescence,chlorophyll content increased; aba content decreased,,"leaf property, leaf yield",pvc3h69,,unknown,overexpression
